Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Reb Rate,Eff Pts,Opp Eff Pts,Win,Loss
Golden State Warriors,115.89,104.26,11.63,98.97,116.5,104.7,11.8,0.563,0.486,0.597,0.525,50.53,143.83,112.17,67,15
San Antonio Spurs,105.33,98.13,7.2,93.5,111.94,104.07,7.86,0.524,0.492,0.564,0.53,51.41,125.16,107.55,61,21
Houston Rockets,115.34,109.57,5.77,99.34,115.53,109.9,5.63,0.545,0.519,0.583,0.556,50.17,129.79,124.28,55,27
Los Angeles Clippers,108.67,104.38,4.29,95.55,113.3,109.03,4.27,0.537,0.506,0.574,0.546,49.94,123.22,116.06,51,31
Toronto Raptors,106.85,102.65,4.21,94.28,112.77,108.5,4.27,0.517,0.507,0.561,0.55,50.69,119.68,113,51,31
Utah Jazz,100.71,96.77,3.94,90.36,111.03,106.63,4.4,0.526,0.493,0.563,0.531,51.82,114.61,103.94,51,31
Cleveland Cavaliers,110.34,107.16,3.18,95.41,114.49,110.89,3.6,0.547,0.516,0.58,0.549,49.73,123.27,122.85,51,31
Boston Celtics,108.01,105.38,2.63,95.96,112.13,109.46,2.67,0.525,0.503,0.567,0.545,48.52,123.31,118.92,53,29
Washington Wizards,109.18,107.38,1.81,96.76,111.84,110.13,1.71,0.528,0.524,0.564,0.561,49.89,124.5,119.01,49,33
Miami Heat,103.17,102.11,1.06,94.2,108.97,107.51,1.45,0.512,0.496,0.541,0.54,50.02,115.22,112.5,41,41
Oklahoma City Thunder,106.6,105.84,0.76,97.1,109.09,108.6,0.49,0.5,0.511,0.54,0.551,53.42,117.95,116.87,47,35
Denver Nuggets,111.72,111.21,0.51,97.59,114.04,113.63,0.41,0.53,0.532,0.568,0.567,53.2,127.81,126.76,40,42
Memphis Grizzlies,100.48,99.99,0.49,91.6,108.45,107.7,0.75,0.491,0.506,0.535,0.552,50.39,112,109.96,43,39
Chicago Bulls,102.87,102.44,0.43,94.99,107.74,107.5,0.24,0.487,0.507,0.53,0.54,51.74,118.38,116.84,41,41
Charlotte Hornets,104.89,104.7,0.2,94.66,109.97,109.71,0.26,0.501,0.523,0.547,0.554,49.54,120.23,122.16,36,46
Milwaukee Bucks,103.62,103.81,-0.18,93.77,109.95,109.89,0.06,0.527,0.518,0.565,0.557,48.76,120,118.11,42,40
Indiana Pacers,105.1,105.32,-0.22,95.47,109.12,109.34,-0.23,0.516,0.512,0.558,0.555,48.69,120.04,119.29,42,40
Portland Trailblazers,107.94,108.46,-0.52,96.18,110.82,111.58,-0.76,0.52,0.508,0.559,0.554,49.81,119.83,120.92,41,41
Atlanta Hawks,103.16,104.01,-0.85,96.71,105.59,106.72,-1.13,0.504,0.507,0.541,0.541,50.26,115.88,117.63,43,39
Minnesota Timberwolves,105.57,106.68,-1.11,94.16,111.42,112.34,-0.93,0.511,0.535,0.555,0.571,51.21,120.89,120.11,31,51
Detroit Pistons,101.33,102.45,-1.12,94.17,106.92,107.91,-0.99,0.492,0.516,0.521,0.554,51.58,113.17,117.98,37,45
New Orleans Pelicans,104.34,106.44,-2.1,97.23,106.1,108.17,-2.07,0.504,0.509,0.539,0.542,47.48,118.4,122.5,34,48
Dallas Mavericks,97.92,100.84,-2.93,91.85,106.06,109.39,-3.33,0.505,0.529,0.541,0.568,46.43,107.49,114.98,33,49
New York Knicks,104.34,108.01,-3.67,95.6,108.18,112.17,-3.99,0.496,0.511,0.534,0.551,50.26,117.37,121.12,31,51
Sacramento Kings,102.81,106.68,-3.88,94.19,108.05,112.1,-4.05,0.516,0.528,0.556,0.568,48.92,114.34,123.34,32,50
Phoenix Suns,107.7,113.33,-5.63,99.62,107.29,112.96,-5.67,0.493,0.525,0.538,0.572,50.52,115.84,126.15,24,58
Philadelphia 76ers,102.44,108.13,-5.7,97.96,103.78,109.65,-5.87,0.501,0.512,0.539,0.555,48.78,113.99,123.05,28,54
Orlando Magic,101.07,107.65,-6.57,95.67,104.98,111.58,-6.6,0.489,0.523,0.524,0.559,48.68,111.39,125.68,29,53
Brooklyn Nets,105.77,112.5,-6.73,100.47,104.87,111.52,-6.65,0.507,0.513,0.551,0.552,48.21,114.5,130,20,62
Los Angeles Lakers,104.57,111.45,-6.88,98.01,106.56,113.57,-7.01,0.501,0.542,0.537,0.577,49.48,112.99,131.34,26,56
